	平均点,	　数学　,	　理科　,	　社会　,	　国語　,	　英語　
		50.973 ,	50.831 ,	50.897 ,	51.035 ,	50.155

	順位,	番号,	数学,	理科,	社会,	国語,	英語,	総合
	1 ,	1210 ,	100 ,	100 ,	100 ,	100 ,	100 ,	500
	1 ,	2184 ,	100 ,	100 ,	100 ,	100 ,	100 ,	500
	1 ,	2222 ,	100 ,	100 ,	100 ,	100 ,	100 ,	500
	1 ,	8080 ,	100 ,	100 ,	100 ,	100 ,	100 ,	500
	1 ,	12410 ,	100 ,	100 ,	100 ,	100 ,	100 ,	500
	6 ,	7630 ,	100 ,	100 ,	100 ,	100 ,	95 ,	495
	7 ,	5784 ,	88 ,	98 ,	92 ,	98 ,	91 ,	467
	8 ,	10309 ,	99 ,	100 ,	97 ,	83 ,	85 ,	464
	9 ,	14523 ,	98 ,	98 ,	93 ,	100 ,	73 ,	462
	10 ,	6710 ,	90 ,	74 ,	94 ,	99 ,	98 ,	455
	10 ,	5719 ,	92 ,	93 ,	93 ,	97 ,	80 ,	455
	12 ,	5221 ,	91 ,	78 ,	93 ,	94 ,	98 ,	454
	13 ,	4104 ,	97 ,	100 ,	79 ,	78 ,	98 ,	452
	13 ,	19925 ,	89 ,	94 ,	84 ,	90 ,	95 ,	452
	13 ,	16101 ,	95 ,	100 ,	99 ,	63 ,	95 ,	452
	16 ,	15620 ,	97 ,	100 ,	83 ,	91 ,	79 ,	450
	17 ,	4401 ,	94 ,	98 ,	99 ,	76 ,	81 ,	448
	18 ,	16110 ,	97 ,	89 ,	88 ,	83 ,	90 ,	447
	18 ,	4067 ,	82 ,	88 ,	98 ,	80 ,	99 ,	447
	18 ,	14179 ,	86 ,	69 ,	98 ,	99 ,	95 ,	447
	21 ,	9860 ,	87 ,	95 ,	94 ,	87 ,	83 ,	446
	21 ,	7563 ,	90 ,	98 ,	84 ,	80 ,	94 ,	446
	23 ,	4607 ,	98 ,	100 ,	84 ,	69 ,	94 ,	445
	24 ,	3212 ,	86 ,	91 ,	83 ,	85 ,	99 ,	444
	25 ,	672 ,	99 ,	85 ,	84 ,	76 ,	99 ,	443
	25 ,	14234 ,	83 ,	98 ,	75 ,	89 ,	98 ,	443
	27 ,	4749 ,	100 ,	93 ,	78 ,	84 ,	87 ,	442
	27 ,	2456 ,	92 ,	91 ,	71 ,	98 ,	90 ,	442
	29 ,	11708 ,	76 ,	87 ,	89 ,	91 ,	98 ,	441
	29 ,	4942 ,	98 ,	94 ,	96 ,	69 ,	84 ,	441
	31 ,	11484 ,	91 ,	76 ,	98 ,	97 ,	78 ,	440
	32 ,	17133 ,	93 ,	80 ,	94 ,	86 ,	85 ,	438
	32 ,	865 ,	90 ,	100 ,	88 ,	78 ,	82 ,	438
	34 ,	8983 ,	91 ,	87 ,	94 ,	82 ,	83 ,	437
	35 ,	701 ,	83 ,	76 ,	100 ,	79 ,	98 ,	436
	35 ,	5293 ,	88 ,	77 ,	96 ,	86 ,	89 ,	436
	37 ,	6093 ,	69 ,	94 ,	96 ,	76 ,	98 ,	433
	37 ,	13221 ,	92 ,	88 ,	96 ,	64 ,	93 ,	433
	37 ,	3589 ,	65 ,	100 ,	95 ,	88 ,	85 ,	433
	40 ,	19591 ,	73 ,	85 ,	91 ,	84 ,	99 ,	432
	40 ,	1386 ,	95 ,	69 ,	96 ,	90 ,	82 ,	432
	40 ,	5217 ,	100 ,	96 ,	83 ,	72 ,	81 ,	432
	43 ,	3742 ,	80 ,	97 ,	87 ,	77 ,	90 ,	431
	44 ,	10256 ,	84 ,	88 ,	97 ,	96 ,	64 ,	429
	45 ,	5572 ,	84 ,	80 ,	82 ,	87 ,	95 ,	428
	45 ,	9775 ,	44 ,	92 ,	94 ,	100 ,	98 ,	428
	45 ,	15075 ,	85 ,	90 ,	66 ,	90 ,	97 ,	428
	45 ,	15554 ,	72 ,	88 ,	90 ,	90 ,	88 ,	428
	45 ,	14519 ,	83 ,	99 ,	92 ,	75 ,	79 ,	428
